titleId	ordering	title	region	language	types	attributes	isOriginalTitle
tt0001476	2	Amor que mata	ES	\N	imdbDisplay	\N	0
tt0001499	4	La batalla	ES	\N	imdbDisplay	\N	0
tt0001527	13	La venganza del cámara de cine	ES	\N	video	\N	0
tt0001532	2	Carmen o la hija del bandido	ES	\N	\N	\N	0
tt0001534	2	Carnaval en Palamós	ES	\N	imdbDisplay	\N	0
tt0001535	2	Castillo de Arampruña	ES	\N	imdbDisplay	\N	0
tt0001573	1	De Gerona a Olot en ferrocarril (De Olot a Gerona en ferrocarril)	ES	\N	imdbDisplay	\N	0
tt0001587	2	Don Pedro el Cruel	ES	\N	imdbDisplay	\N	0
tt0001602	2	El fantasma del castillo	ES	\N	imdbDisplay	\N	0
tt0001609	2	Feria de ganado en Villarrodona	ES	\N	imdbDisplay	\N	0
tt0001610	2	Fiesta Mayor de Manresa	ES	\N	imdbDisplay	\N	0
tt0001611	1	Fiestas del Sitio en Bilbao	ES	\N	imdbDisplay	\N	0
tt0001612	2	Fiestas en La Bisbal	ES	\N	imdbDisplay	\N	0
tt0001680	3	Su responsabilidad	ES	\N	imdbDisplay	\N	0
tt0001681	3	Cumplió con su responsabilidad	ES	\N	imdbDisplay	\N	0
tt0001705	2	Industrias textiles	ES	\N	imdbDisplay	\N	0
tt0001740	10	Salvada por el teléfono	ES	\N	imdbDisplay	\N	0
tt0001756	2	Lucha por la herencia	ES	\N	imdbDisplay	\N	0
tt0001795	1	Monasterio de Caralps en Berga	ES	\N	imdbDisplay	\N	0
tt0001796	2	Monasterio de Ripoll	ES	\N	imdbDisplay	\N	0
tt0001815	2	On the Brink	ES	\N	imdbDisplay	\N	0
tt0001845	3	Pulgarcito	ES	\N	imdbDisplay	\N	0
tt0001881	2	Los siete niños de Écija o Los bandidos de Sierra Morena	ES	\N	imdbDisplay	\N	0
tt0001913	3	Espadas y corazones	ES	\N	imdbDisplay	\N	0
tt0001916	1	Tarragona monumental	ES	\N	imdbDisplay	\N	0
tt0001965	2	Vicio y virtud	ES	\N	imdbDisplay	\N	0
tt0002016	1	Los amantes de Teruel	ES	\N	imdbDisplay	\N	0
tt0002019	1	Amor de bestia	ES	\N	imdbDisplay	\N	0
tt0002033	3	Asesinato y entierro de Don José Canalejas	ES	\N	imdbDisplay	\N	0
tt0002040	2	Las aventuras del Pollo Palomeque	ES	\N	imdbDisplay	\N	0
tt0002046	2	La Barrera número 13	ES	\N	imdbDisplay	\N	0
tt0002083	4	La caida de Troya	ES	\N	\N	\N	0
tt0002091	1	Castillo de Ostalric	ES	\N	imdbDisplay	\N	0
tt0002113	9	A la conquista del polo	ES	\N	\N	\N	0
tt0002130	9	El infierno	ES	\N	imdbDisplay	\N	0
tt0002156	1	Eclipse de sol	ES	\N	imdbDisplay	\N	0
tt0002165	2	Excursión a San Lorenzo de Munt	ES	\N	imdbDisplay	\N	0
tt0002180	1	Fiesta colombófila en el Tibidabo	ES	\N	imdbDisplay	\N	0
tt0002194	2	Por el amor del Séptimo	ES	\N	imdbDisplay	\N	0
tt0002199	5	Del pesebre a la cruz	ES	\N	\N	\N	0
tt0002206	2	Joaquin Goerthal y el Secreto del Acero	ES	\N	alternative	\N	0
tt0002303	1	El mal menor	ES	\N	\N	\N	0
tt0002315	1	El lobo de la sierra	ES	\N	imdbDisplay	\N	0
tt0002325	1	Lucha de corazones	ES	\N	imdbDisplay	\N	0
tt0002334	1	La madre	ES	\N	imdbDisplay	\N	0
tt0002335	1	Magda	ES	\N	imdbDisplay	\N	0
tt0002350	3	La matanza	ES	\N	\N	\N	0
tt0002354	3	Max y Juana desean hacerse actores	ES	\N	\N	\N	0
tt0002372	2	Montseny, Viladrau y Tordera	ES	\N	imdbDisplay	\N	0
tt0002423	17	Madame DuBarry	ES	\N	imdbDisplay	\N	0
tt0002432	2	Los Pirineos de Port-Bou a Andorra	ES	\N	imdbDisplay	\N	0
tt0002452	7	La Guerra de la Independencia	ES	\N	imdbDisplay	\N	0
tt0002468	2	Aplec de Begues	ES	ca	\N	\N	0
tt0002511	2	Los sueños de Palomeque	ES	\N	imdbDisplay	\N	0
tt0002553	3	El enemigo invisible	ES	\N	\N	\N	0
tt0002565	1	Los viveskis sin contrato	ES	\N	imdbDisplay	\N	0
tt0002624	1	El amigo del alma	ES	\N	imdbDisplay	\N	0
tt0002625	1	Ana Kadova	ES	\N	imdbDisplay	\N	0
tt0002661	1	Barcelona bajo la nieve	ES	\N	imdbDisplay	\N	0
tt0002676	2	El bello Arturo	ES	\N	imdbDisplay	\N	0
tt0002679	4	Blanco contro negro	ES	\N	\N	\N	0
tt0002699	2	The Bridge of Shadows	ES	\N	imdbDisplay	\N	0
tt0002721	7	Los hermanos	ES	\N	imdbDisplay	\N	0
tt0002739	4	Carmen	ES	\N	imdbDisplay	\N	0
tt0002743	1	El Caín moderno	ES	\N	imdbDisplay	\N	0
tt0002763	1	Corazón de presidiario	ES	\N	imdbDisplay	\N	0
tt0002764	1	Corrida de feria de las fiestas del Pilar	ES	\N	imdbDisplay	\N	0
tt0002765	1	Corrida de toros en Calatayud	ES	\N	imdbDisplay	\N	0
tt0002771	1	El crimen del otro	ES	\N	imdbDisplay	\N	0
tt0002790	1	De muerte a vida	ES	\N	imdbDisplay	\N	0
tt0002811	4	Los dos buzos	ES	\N	\N	\N	0
tt0002837	2	Fabricación del hielo	ES	\N	imdbDisplay	\N	0
tt0002844	12	Fantómas a la sombra de la guillotina	ES	\N	imdbDisplay	\N	0
tt0002858	1	Fiestas en Palafrugell	ES	\N	imdbDisplay	\N	0
tt0002886	1	La fuerza del destino	ES	\N	imdbDisplay	\N	0
tt0002888	1	Fulano de Tal se enamora de Manón	ES	\N	imdbDisplay	\N	0
tt0002917	11	Vecinos de frontera	ES	\N	imdbDisplay	\N	0
tt0002953	2	Herrerín y Ballesteros, en Alagón	ES	\N	imdbDisplay	\N	0
tt0002958	1	El hijo del mar	ES	\N	imdbDisplay	\N	0
tt0003009	1	Inauguración del autodromo de Sitges, y carreras	ES	\N	imdbDisplay	\N	0
tt0003010	1	Incendio en el barrio de Montemolín, Zaragoza	ES	\N	imdbDisplay	\N	0
tt0003022	5	Ivanhoe	ES	\N	imdbDisplay	\N	0
tt0003037	18	Fantomas 2: Juve contra Fantomas	ES	\N	imdbDisplay	\N	0
tt0003053	1	Laura y sus pretendientes	ES	\N	imdbDisplay	\N	0
tt0003100	2	La luz que vuelve	ES	\N	imdbDisplay	\N	0
tt0003113	1	Mala raza	ES	\N	imdbDisplay	\N	0
tt0003124	2	Los marinos de papel	ES	\N	imdbDisplay	\N	0
tt0003131	10	¡Maldita sea la guerra!	ES	\N	imdbDisplay	\N	0
tt0003160	1	El modelo de virtudes	ES	\N	imdbDisplay	\N	0
tt0003165	1	Fantomas 3: El muerto que mata	ES	\N	imdbDisplay	\N	0
tt0003167	5	Hogar, dulce hogar	ES	\N	\N	\N	0
tt0003218	2	Novillada de beneficencia en Zaragoza	ES	\N	imdbDisplay	\N	0
tt0003294	2	Primera comunión de las alumnas de las Escuelas Pías	ES	\N	imdbDisplay	\N	0
tt0003306	2	Los contrabandistas	ES	\N	imdbDisplay	\N	0
tt0003350	1	Sangre gitana	ES	\N	\N	\N	0
tt0003419	10	El estudiante de Praga	ES	\N	\N	\N	0
tt0003465	1	Tonto de la huerta	ES	\N	imdbDisplay	\N	0
tt0003466	4	Tony, El Violinista	ES	\N	imdbDisplay	\N	0
tt0003471	5	Tráfico de almas	ES	\N	\N	\N	0
tt0003472	2	Trampa y cartón	ES	\N	imdbDisplay	\N	0
tt0003489	5	Los últimos días de Pompeya	ES	\N	\N	\N	0
tt0003581	2	Zaragoza y sus monumentos	ES	\N	imdbDisplay	\N	0
tt0003608	2	El alcalde de Zalamea	ES	\N	imdbDisplay	\N	0
tt0003610	2	Alexia o La niña del misterio	ES	\N	imdbDisplay	\N	0
tt0003619	1	Amigas siempre	ES	\N	imdbDisplay	\N	0
tt0003621	2	Amor andaluz	ES	\N	imdbDisplay	\N	0
tt0003623	1	La pescadora de Tosa	ES	\N	alternative	\N	0
tt0003623	2	Amor de pescadora	ES	\N	imdbDisplay	\N	0
tt0003629	2	Apuntes de la fiesta de la flor	ES	\N	imdbDisplay	\N	0
tt0003643	1	La conciencia vengadora	ES	\N	imdbDisplay	\N	0
tt0003679	1	El que no corre vuela	ES	\N	\N	reissue title	0
tt0003679	22	Todo por un paraguas	ES	\N	\N	\N	0
tt0003679	8	Charlot y el paraguas	ES	\N	\N	\N	0
tt0003733	15	Charlot, sufragista	ES	\N	\N	\N	0
tt0003737	2	Cabalgata de los mercados en Barcelona	ES	\N	imdbDisplay	\N	0
tt0003738	2	El caballero Casarroja	ES	\N	imdbDisplay	\N	0
tt0003740	19	Cabiria	ES	\N	imdbDisplay	\N	0
tt0003742	2	Calatayud en fiestas	ES	\N	imdbDisplay	\N	0
tt0003746	1	El calvario de un héroe	ES	\N	imdbDisplay	\N	0
tt0003757	1	Catástrofe de Aguilón	ES	\N	imdbDisplay	\N	0
tt0003758	11	Charlot, camarero	ES	\N	\N	\N	0
tt0003758	1	Charlot en el cabaret	ES	\N	\N	\N	0
tt0003760	14	Charlot y la sonámbula	ES	\N	\N	\N	0
tt0003764	2	La chavala	ES	\N	imdbDisplay	\N	0
tt0003794	2	Corrida de toros en Valencia	ES	\N	imdbDisplay	\N	0
tt0003805	6	Un amor cruel	ES	\N	\N	\N	0
tt0003807	2	El cuervo del campamento	ES	\N	imdbDisplay	\N	0
tt0003808	1	La cueva vengadora	ES	\N	imdbDisplay	\N	0
tt0003822	2	La danza fatal	ES	\N	imdbDisplay	\N	0
tt0003832	1	La deuda del pasado	ES	\N	imdbDisplay	\N	0
tt0003836	1	Diego Corrientes	ES	\N	imdbDisplay	\N	0
tt0003863	20	Charlot, panadero	ES	\N	\N	\N	0
tt0003863	22	Charlot, cocinero	ES	\N	\N	reissue title	0
tt0003866	2	Un drama en Aragón	ES	\N	imdbDisplay	\N	0
tt0003867	2	Un drama en la montaña	ES	\N	imdbDisplay	\N	0
tt0003874	2	La echadora de cartas	ES	\N	imdbDisplay	\N	0
tt0003887	1	Entre ruinas	ES	\N	imdbDisplay	\N	0
tt0003897	14	Los Misterios de Nueva York	ES	\N	imdbDisplay	\N	0
tt0003923	17	Charlot, pintor	ES	\N	\N	\N	0
tt0003930	22	Fantomas 4: Fantomas contra Fantomas	ES	\N	imdbDisplay	\N	0
tt0003934	8	El mazo de Charlot	ES	\N	\N	\N	0
tt0003952	4	Fantomas 5: El falso magistrado	ES	\N	imdbDisplay	\N	0
tt0003954	2	La fiesta del trigo	ES	\N	\N	\N	0
tt0003955	2	Ferias en Tarragona: Coso Blanco	ES	\N	\N	\N	0
tt0003960	1	En el país de los molinos	ES	\N	imdbDisplay	\N	0
tt0003961	1	Charlot y el fuego	ES	\N	imdbDisplay	\N	0
tt0003992	2	Fridolín	ES	\N	imdbDisplay	\N	0
tt0003997	1	La fuerza del mal	ES	\N	imdbDisplay	\N	0
tt0004007	16	Mabel y Charlot en las carreras	ES	\N	\N	\N	0
tt0004011	11	Charlot tiene una mujer celosa	ES	\N	\N	\N	0
tt0004021	2	La gitanilla	ES	\N	imdbDisplay	\N	0
tt0004022	4	Cayo Julio César	ES	\N	\N	\N	0
tt0004026	1	El golem	ES	\N	\N	\N	0
tt0004034	2	Regatas en el puerto de Barcelona	ES	\N	\N	\N	0
tt0004074	11	Charlot, ladrón elegante	ES	\N	\N	\N	0
tt0004091	11	Charlot extremadamente elegante	ES	\N	imdbDisplay	\N	0
tt0004091	21	Su pasatiempo favorito	ES	\N	alternative	\N	0
tt0004100	2	Charlot domina el piano	ES	\N	\N	\N	0
tt0004101	17	La nueva colocación de Charlot	ES	\N	\N	reissue title	0
tt0004101	22	Charlot, faquín	ES	\N	\N	\N	0
tt0004102	15	Charlot, en la edad de piedra	ES	\N	alternative	\N	0
tt0004102	1	El sueño fantástico de Charlot	ES	\N	alternative	\N	0
tt0004102	2	Charlot prehistórico	ES	\N	imdbDisplay	\N	0
tt0004108	21	Charlot, niñera	ES	\N	\N	reissue title	0
tt0004108	2	Charlot se engaña	ES	\N	\N	\N	0
tt0004112	1	Amigo y esposa	ES	\N	alternative	\N	0
tt0004112	2	Hombre o mujer	ES	\N	imdbDisplay	\N	0
tt0004114	2	Homenaje a Lanuza	ES	\N	imdbDisplay	\N	0
tt0004162	2	La intrusa	ES	\N	imdbDisplay	\N	0
tt0004181	15	Judith de Bethulia	ES	\N	imdbDisplay	\N	0
tt0004189	13	Carreras sofocantes	ES	\N	\N	\N	0
tt0004189	7	Carreras de autos para niños	ES	\N	\N	\N	0
tt0004194	21	Charlot, árbitro	ES	\N	\N	\N	0
tt0004210	1	Charlot, falso dentista	ES	\N	\N	\N	0
tt0004210	3	Charlot, dentista	ES	\N	\N	reissue title	0
tt0004218	2	El león de la sierra	ES	\N	imdbDisplay	\N	0
tt0004231	1	Linito se hace torero	ES	\N	alternative	\N	0
tt0004231	3	Linito quiere ser torero	ES	\N	imdbDisplay	\N	0
